Accelerometer_x,Accelerometer_y,Accelerometer_z,Gyroscope_x,Gyroscope_y,Gyroscope_z,Magnetometer_x,Magnetometer_y,Magnetometer_z,Position
,,,,,,,,,
0.44,-0.49,0.73,99.98,60.79,177.49,17.92,15.38,-5.46,"Unknown
"
,,,,,,,,,
0.32,0.14,0.73,132.14,-12.02,265.26,4.19,5.29,1.53,"Unknown
"
,,,,,,,,,
0.32,0.18,0.64,28.5,-114.44,32.23,-9.29,1.65,18.26,"Unknown
"
,,,,,,,,,
0.13,-0.07,0.86,6.29,-232.85,20.39,4.38,12.06,53.69,"Unknown
"
,,,,,,,,,
-0.45,-0.37,0.97,16.85,10.68,181.27,40.01,28.14,80.19,"Unknown
"
,,,,,,,,,
0.02,0.08,0.97,2.81,1.83,23.99,41.75,26.71,86.51,"Supine
"
,,,,,,,,,
-0.03,-0.04,0.97,3.17,2.87,41.87,42.5,26.4,87,"Supine
"
,,,,,,,,,
0,-0.02,0.96,2.2,2.08,18.07,42.88,25.59,87.02,"Supine
"
,,,,,,,,,
-0.01,0.02,0.96,2.38,1.95,4.46,42.43,26.27,88.53,"Supine
"
,,,,,,,,,
0,0,0.96,2.32,1.95,0.85,42.46,25.7,88.37,"Supine
"
,,,,,,,,,
-0.01,0,0.96,1.83,1.71,0.43,42.29,26.23,87.99,"Supine
"
,,,,,,,,,
-0.17,-0.08,0.78,1.77,1.59,0,42.43,26.06,88.01,"Unknown
"
,,,,,,,,,
-0.11,0.14,0.96,2.62,1.04,-27.04,42,27.05,79.39,"Unknown
"
,,,,,,,,,
0.09,0.01,0.97,0.18,-2.08,-63.17,40.09,27.43,54.93,"Unknown
"
,,,,,,,,,
-0.02,0.01,1.03,0.55,-30.15,-65.43,37.51,28.37,40.86,"Supine
"
,,,,,,,,,
0.16,0.24,0.84,3.85,3.54,-84.72,34.24,29.15,32.86,"Unknown
"
,,,,,,,,,
-0.09,0.02,1,2.44,21.3,-78.43,32.52,32.7,28.17,"Unknown
"
,,,,,,,,,
-0.04,-0.04,0.97,-0.67,-2.93,-126.71,29.03,35,18.36,"Supine
"
,,,,,,,,,
-0.06,0.03,0.97,-1.95,-6.16,-125.61,26.06,35.55,8.24,"Supine
"
,,,,,,,,,
-0.06,0.16,0.98,-2.81,-6.29,-126.04,23.47,35.62,-0.34,"Side
"
,,,,,,,,,
-0.09,-0.16,0.97,13.67,12.33,-108.89,20.52,36.69,-11.01,"Unknown
"
,,,,,,,,,
-0.06,-0.11,0.97,1.53,0.92,-50.6,19.21,35.84,-14.47,"Side
"
,,,,,,,,,
0.13,0.08,0.96,5.98,5.49,-67.38,18.14,36.41,-17.3,"Unknown
"
,,,,,,,,,
0.1,-0.06,0.97,-0.37,1.04,-15.63,17.55,35.52,-17.98,"Unknown
"
,,,,,,,,,
0.17,0,0.97,2.08,2.81,31.43,17.53,35.63,-17.59,"Unknown
"
,,,,,,,,,
-0.19,-0.03,0.97,3.36,2.56,28.14,18.57,35.19,-19.01,"Unknown
"
,,,,,,,,,
-0.06,-0.02,0.97,3.3,2.56,18.62,19.27,34.61,-18.84,"Supine
"
,,,,,,,,,
-0.07,0.08,0.97,1.34,1.04,-9.95,18.42,35.69,-20.04,"Supine
"
,,,,,,,,,
0.04,-0.19,0.97,0.73,0.06,-72.88,17.36,35.88,-24.04,"Side
"
,,,,,,,,,
-0.07,0.12,0.96,1.4,0.37,-64.45,17.05,35.64,-23.73,"Side
"
,,,,,,,,,
-0.08,-0.11,0.96,0.98,-0.37,-46.26,16.26,35.89,-26.25,"Side
"
,,,,,,,,,
0.01,-0.2,0.96,7.39,5.13,46.88,17.25,35.64,-27.06,"Side
"
,,,,,,,,,
-0.06,-0.23,0.93,6.35,4.39,45.23,17.46,35.08,-27.43,"Side
"
,,,,,,,,,
0.03,0.06,0.96,5.31,5.49,144.04,20.53,34.12,-26.27,"Supine
"
,,,,,,,,,
0.02,0.16,0.95,1.1,2.32,77.51,22.11,33.83,-24.26,"Side
"
,,,,,,,,,
-0.1,0.11,0.96,3.23,1.77,27.1,22.45,33.56,-25.96,"Unknown
"
,,,,,,,,,
0.23,-0.18,0.91,1.34,2.69,54.14,23.77,32.8,-25.39,"Unknown
"
,,,,,,,,,
-0.11,0.05,0.92,-3.97,-3.48,36.25,24.72,31.58,-26.04,"Unknown
"
,,,,,,,,,
0,-0.09,0.97,1.89,1.46,13.24,24.85,31.58,-26.94,"Side
"
,,,,,,,,,
-0.01,0.01,0.97,2.62,1.95,1.04,24.39,32.36,-27.73,"Supine
"
,,,,,,,,,
0.01,-0.05,0.97,4.82,3.6,17.7,24.89,31.79,-26.49,"Supine
"
,,,,,,,,,
-0.01,-0.05,0.96,4.21,2.5,4.82,24.94,31.97,-26.17,"Supine
"
,,,,,,,,,
-0.02,0.02,0.97,3.11,2.81,-12.45,25.21,31.2,-27.33,"Supine
"
,,,,,,,,,
-0.08,-0.04,0.97,1.59,5.92,-29.72,24.88,31.98,-26.73,"Supine
"
,,,,,,,,,
-0.02,0.03,0.97,1.95,4.7,-32.65,23.72,33.14,-25.95,"Supine
"
,,,,,,,,,
-0.01,0.09,0.98,1.4,3.3,-39.79,23.16,33.23,-25.9,"Side
"
,,,,,,,,,
-0.01,-0.08,0.95,2.5,1.16,-24.41,23.24,33.19,-25.2,"Supine
"
,,,,,,,,,
0.02,0.05,0.95,0.98,-9.09,15.44,22.94,33.12,-25.07,"Supine
"
,,,,,,,,,
-0.03,0.02,0.97,1.71,1.22,5.07,23.08,32.96,-25.07,"Supine
"
,,,,,,,,,
0.02,0.01,0.96,2.26,2.01,-10.07,22.86,33.09,-25.26,"Supine
"
,,,,,,,,,
-0.01,0.02,0.96,1.4,0.85,-14.34,22.74,33.51,-24.65,"Supine
"
,,,,,,,,,
-0.02,0,0.96,1.59,0.73,-21.06,21.89,33.52,-25.37,"Supine
"
,,,,,,,,,
-0.02,0,0.97,1.53,0.61,-22.64,21.26,33.87,-24.46,"Supine
"
,,,,,,,,,
-0.01,0.03,0.97,1.83,1.34,-13.55,21.25,33.84,-25.87,"Supine
"
,,,,,,,,,
0,0.03,0.96,1.65,1.4,-4.03,21.4,33.81,-24.65,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,2.56,1.77,2.08,21.08,33.74,-26.16,"Supine
"
,,,,,,,,,
-0.03,-0.01,0.97,2.26,1.77,-5.55,21.13,34.53,-26.29,"Supine
"
,,,,,,,,,
-0.01,0,0.97,4.39,1.83,-0.31,20.84,34.11,-26.45,"Supine
"
,,,,,,,,,
0.01,0.02,0.96,3.91,1.83,0.12,20.48,34.12,-26.7,"Supine
"
,,,,,,,,,
-0.01,-0.03,0.96,1.53,1.89,1.4,20.73,33.72,-25.93,"Supine
"
,,,,,,,,,
-0.04,-0.01,0.97,0.55,1.71,0.06,20.64,33.33,-26.16,"Supine
"
,,,,,,,,,
-0.03,-0.01,0.97,1.71,1.89,2.75,20.9,34.34,-26.9,"Supine
"
,,,,,,,,,
-0.01,-0.01,0.96,2.32,1.89,1.71,20.81,33.47,-26.48,"Supine
"
,,,,,,,,,
-0.02,0.01,0.97,2.56,2.08,1.95,20.92,33.72,-26.43,"Supine
"
,,,,,,,,,
-0.02,0,0.97,2.44,1.71,4.21,21.62,33.53,-26.61,"Supine
"
,,,,,,,,,
-0.01,0.01,0.97,2.99,1.04,5.25,21.41,33.34,-27.03,"Supine
"
,,,,,,,,,
-0.01,0,0.96,5.07,1.83,-2.69,21.5,33.59,-25.48,"Supine
"
,,,,,,,,,
-0.02,-0.01,0.96,6.41,1.95,0.98,21.29,33.36,-26.92,"Supine
"
,,,,,,,,,
-0.02,0.02,0.97,2.2,1.77,0.37,19.81,32.68,-28.34,"Supine
"
,,,,,,,,,
-0.01,0.01,0.96,2.08,1.77,0.49,19.79,32.3,-28.37,"Supine
"
,,,,,,,,,
-0.01,0.02,0.96,2.26,1.71,0.37,20.09,32.31,-29.24,"Supine
"
,,,,,,,,,
-0.01,0.02,0.96,2.01,1.83,0.31,19.79,32.71,-29.09,"Supine
"
,,,,,,,,,
-0.01,0.01,0.96,2.26,1.77,0.61,19.65,32.35,-28.53,"Supine
"
,,,,,,,,,
-0.02,0.02,0.96,2.2,1.89,0.49,20.2,32.9,-29.2,"Supine
"
,,,,,,,,,
-0.01,0.01,0.96,2.26,1.71,0.43,19.63,32.74,-29.19,"Supine
"
,,,,,,,,,
-0.02,0.02,0.96,2.2,1.71,0.55,20.01,32.6,-28.94,"Supine
"
,,,,,,,,,
-0.01,0.02,0.96,2.14,2.01,0.37,20.24,32.78,-29.24,"Supine
"
,,,,,,,,,
-0.01,0.02,0.96,2.14,1.89,0.31,20.26,33.31,-29.3,"Supine
"
,,,,,,,,,
-0.02,0.02,0.96,2.32,1.71,0.49,20.51,33.17,-29.66,"Supine
"
,,,,,,,,,
-0.01,0.02,0.96,2.2,1.95,0.37,20.51,33.2,-29.09,"Supine
"
,,,,,,,,,
-0.01,0.02,0.96,2.32,1.77,0.55,20.06,32.41,-28.74,"Supine
"
,,,,,,,,,
-0.02,0.02,0.96,2.08,1.71,0.49,19.92,32.67,-28.81,"Supine
"
,,,,,,,,,
-0.01,0.02,0.96,2.32,1.83,0.49,19.6,32.68,-29.14,"Supine
"
,,,,,,,,,
-0.01,0.02,0.96,2.26,1.95,0.49,20.48,33.09,-28.72,"Supine
"
,,,,,,,,,
